,MAE,RMSE,MAPE,R2
XGBoost,1.9671014145446504e-05,2.2778100450504293e-05,15.455128046000002,-0.399796749292866
Random Forest,2.495239727326978e-06,4.069125697406906e-06,1.8845019783477228,0.9553283304269853
Prophet,4.116330418399643e-05,4.2602741775876606e-05,31.065985763308902,-3.896717759365532
ARIMA,3.6695365726160064e-05,5.1198823163057005e-05,24.824857997637768,-6.072125029795559
