date,SO2,NO2,CO,Aerosol
2020-01-01,0.0004086915519922594,0.00018365149949101355,0.04090946619129603,-1.1689415419471592
2020-02-01,0.00027275481492115437,0.00014444351429770567,0.042983332495533086,-1.1650070252376994
2020-03-01,0.00015049703946888447,0.0001295216281264916,0.03974077013039511,-1.0682220779304659
2020-04-01,0.00015854869098399797,8.970965601372348e-05,0.039512472039514496,-0.8055175865942233
2020-05-01,0.00011722888169145689,0.00011218070682216135,0.04225154035239954,-0.36814425758908503
2020-06-01,4.7887514021309265e-05,0.00012384390668634523,0.040059197802067355,-0.5418395930325688
2020-07-01,-8.100470908265305e-05,0.00011025856953308283,0.03810272712829461,-1.255871156428357
2020-08-01,-3.265462830028375e-05,9.812589248333733e-05,0.03522569028749173,-1.3577693790179848
2020-09-01,6.980462260494214e-05,0.00010941596052736908,0.0387721197000856,-1.3304119983215479
2020-10-01,0.00015426148943220531,0.00013882035430670973,0.044825882692971906,-0.5555863999080727
2020-11-01,0.0002779421650599524,0.0001349255243717795,0.04787341832266052,-0.5107287488559393
2020-12-01,0.0004236500239852076,0.00018259275238822415,0.042464299899883096,-1.1688681116239326
2021-01-01,0.00019460576540408127,0.00026610380603161787,0.046497446322235916,-1.1396218423260283
2021-02-01,0.00024164788862869488,0.00022010204959212583,0.045580819324162115,-1.115841466756662
2021-03-01,0.0001278062026757934,0.00013970650389299086,0.040000482744159495,-0.627967228655059
2021-04-01,0.00020789783372626892,0.00013759843899190035,0.0428298754014261,-0.40112484331202813
2021-05-01,0.00018511768401245892,0.00012771607877557086,0.04240293624716632,-0.7411428875465793
2021-06-01,5.2441325565710866e-05,0.00013991755403356732,0.03938076431442,-0.6846167732871108
2021-07-01,2.0114984836467124e-06,0.00013276572446665577,0.03895563986643219,-0.19860786611822165
2021-08-01,6.692251072371842e-05,0.00011290175268183345,0.03861202743511754,-0.2858486096278122
2021-09-01,3.2579182539168454e-05,0.00012335671751254767,0.03551493521941245,-0.7118932792362923
2021-10-01,0.00012030030817534716,0.0001559079090726308,0.03788891075928517,0.19414141356368445
2021-11-01,0.0002636381110979188,0.00020985249371253617,0.050980275314169016,1.0908191167020078
2021-12-01,0.0003547169829351441,0.00018167393257769696,0.04197509045076074,0.10267164033195537
2022-01-01,0.0001637849365949441,0.00018419980278298342,0.04200619384850719,-0.23198325059865746
2022-02-01,0.00023130802476515485,0.0001803777258620625,0.04020384759257008,0.2434654806668847
2022-03-01,0.00017325422823294935,0.0001388500837497489,0.0412409168972797,0.4817699110038422
2022-04-01,0.00017747116011767594,0.00014085193098749572,0.040260661838911777,1.3055577189355563
2022-05-01,0.00014029623236278482,0.00014569418398508656,0.04210212863830585,1.7981006769627743
2022-06-01,0.0001354220658575781,0.00013992567682698543,0.03794343367531366,1.0068110593053037
2022-07-01,-8.616635743827035e-05,0.00011836935087192303,0.03651244499806158,-0.5281761898784388
2022-08-01,-1.8047368669507517e-06,0.00010669339666851514,0.03395779009123243,-0.5512410137186317
2022-09-01,7.071595306112654e-05,0.0001275484390719084,0.03660279634305693,-0.30560644698207995
2022-10-01,0.00012787798617520108,0.00013211989903998353,0.040255845613474665,0.34852767332616164
2022-11-01,0.00024988076346893636,0.00016355050376193827,0.04184133729964795,0.5205638547073776
2022-12-01,0.0004901967601741108,0.00020128291777921688,0.039747843187841164,0.13600120955855852
